linie,statie,cod_statie,conexiune_linii,directie
66_11,SUVEICA,1018,"66,143,182,682,",down
66_12,DOAMNA GHICA,1163,"66,182,282,682,",down
66_13,CREMENITA (PIATA COLENTINA),3994,"66,182,282,682,",down
66_14,RAUL COLENTINA,1164,"66,182,682,",down
66_15,CARTIER COLENTINA,3344,"66,253,",down
66_16,SPORTULUI,1166,"66,253,",down
66_17,BALOTULUI,3351,"66,253,",down
66_18,SPITALUL FUNDENI,2139,"66,253,",down
69_0,VALEA ARGESULUI,2043,"69, 90, 93,168,173,221,268,368,668,",up
69_1,DRUMUL TABEREI 98,2055,"69, 90, 93,173,368,",up
69_2,ALEEA VLASIEI,1108,"69, 90, 93,173,368,",up
69_3,LICEUL EUGEN LOVINESCU,1109,"69, 90, 93,173,368,",up
69_4,1 MAI,4497,"69, 90, 93,126,",up
69_5,DRUMETUL,2046,"69, 90, 93,126,",up
69_6,SIBIU,2047,"69, 90, 93,126,",up
69_7,FAVORIT,2048,"69, 90, 93,126,",up
69_8,ORIZONT,518,"69, 90, 93,105,126,168,268,368,668,",up
69_9,BD. TIMISOARA,3471,"69, 90, 91, 93, 96,105,139,",up
69_10,BD. IULIU MANIU,896,"69, 90, 91, 93, 96,105,139,",up
69_11,PIATA LEUL,639,"61, 62, 69, 90, 91, 93, 96,136,236,336,",up
69_12,CAROL DAVILA,251,"61, 62, 69, 90, 91, 93, 96,236,336,",up
69_13,POD COTROCENI,900,"61, 62, 69, 90, 91, 93, 96,123,696,",up
69_14,MIRCEA VULCANESCU,1128,"61, 69, 85, 90, 91,163,696,",up
69_15,CASA STUDENTILOR,586,"61, 69, 85, 90, 91,163,",up
69_16,VASILE PARVAN,587,"61, 69, 85, 90, 91,163,",up
69_17,PIATA MIHAIL KOGALNICEANU,758,"61, 66, 69, 70, 85, 90, 91,336,601,",up
69_18,GRADINA CISMIGIU,2934,"61, 66, 69, 70, 85, 90, 91,336,601,",up
69_19,UNIVERSITATE,759,"61, 66, 69, 70, 85, 90, 91,",up
69_20,PIATA ROSETTI,760,"61, 66, 69, 70, 85, 90, 91,336,601,",up
69_21,ARMENEASCA,2398,"66, 69, 70, 85, 90,311,655,",up
69_22,CALEA MOSILOR,761,"69, 70, 85, 90,311,655,",up
69_23,FOISORUL DE FOC,789,"69, 85,",up
