linie,statie,cod_statie,conexiune_linii,directie
16_18,ELECTRONICA,487,"16, 36,",up
16_19,PLATFORMA INDUSTRIALA PIPERA,488,"16, 36,",up
16_0,PLATFORMA INDUSTRIALA PIPERA,489,"16, 36,",down
16_1,ELECTRONICA,490,"16, 36,",down
16_2,ROCIN,491,"16, 36,",down
16_3,GELCAP,2926,"16, 36,",down
16_4,SOSEAUA FABRICA DE GLUCOZA,492,"16, 36,",down
16_5,STRANDUL TEI,493,"16, 36,",down
16_6,LACUL TEI,494,"16, 36,",down
16_7,BD. LACUL TEI,992,"16, 36,",down
16_8,GRIGORE MOISIL,495,"16, 36,",down
16_9,ALEXANDRU CEL BUN,204,"16, 36,",down
16_10,REINVIERII,496,"16, 36,",down
16_11,SOSEAUA STEFAN CEL MARE,3738,"16,",down
16_12,TOAMNEI,2826,"16,",down
16_13,MIHAI EMINESCU,497,"16,",down
16_14,PIATA GEMENI,498,"5, 16,",down
16_15,MARIA ROSETTI,1225,"5, 16,",down
16_16,BATISTEI,207,"5, 16,",down
16_17,BD. CAROL I,208,"5, 16,",down
16_18,HRISTO BOTEV,2343,"5, 16, 21,",down
16_19,PIATA SF. GHEORGHE,2929,"5, 16, 21,",down
21_0,PIATA SF. GHEORGHE,185,"5, 16, 21,",up
21_1,HRISTO BOTEV,3001,"5, 16, 21,",up
21_2,BD. CAROL I,3002,"21,",up
21_3,MIHAI EMINESCU,3003,"21,",up
21_4,BUCUR OBOR,3004,"21,",up
21_5,ZIDURI MOSI,173,"21,",up
21_6,TEIUL DOAMNEI,15,"21,",up
21_7,DOAMNA GHICA,16,"21,",up
21_8,RAUL COLENTINA,17,"21,",up
21_9,CARTIER COLENTINA,18,"21,",up
21_10,SPORTULUI,924,"21,",up
21_11,CORNISOR,20,"21,",up
21_12,NICOLAE CANEA,21,"21,",up
21_13,PASAJ COLENTINA,22,"21,",up
21_0,PASAJ COLENTINA,23,"21,",down
21_1,NICOLAE CANEA,24,"21,",down
21_2,CORNISOR,25,"21,",down
21_3,SPORTULUI,26,"21,",down
21_4,CARTIER COLENTINA,27,"21,",down
21_5,RAUL COLENTINA,28,"21,",down
21_6,DOAMNA GHICA,29,"21,",down
21_7,TEIUL DOAMNEI,30,"21,",down
21_8,ZIDURI MOSI,31,"21,",down
21_9,BUCUR OBOR,3005,"21,",down
21_10,MIHAI EMINESCU,3006,"21,",down
21_11,BD. CAROL I,3007,"21,",down
21_12,HRISTO BOTEV,2343,"5, 16, 21,",down
21_13,PIATA SF. GHEORGHE,2929,"5, 16, 21,",down
23_0,ZETARILOR,559,"8, 23,",up
23_1,VALTOAREI,560,"8, 23,",up
23_2,VADUL NOU,561,"8, 23,",up
23_3,PIATA FERENTARI,280,"8, 23,",up
23_4,SULITEI,1343,"8, 23,",up
23_5,ARMISTITIULUI,281,"8, 23,",up
23_6,CIBINULUI,282,"8, 23,",up
23_7,SOSEAUA SALAJ,283,"8, 23,",up
23_8,CALEA FERENTARI,52,"8, 23, 32,",up
23_9,SOSEAUA PROGRESULUI,53,"23, 32,",up
23_10,PIATA CHIRIGIU,404,"23, 32,",up
23_11,PIATA REGINA MARIA,430,"23, 32,",up
23_12,11 IUNIE,460,"23, 32,",up
23_13,GRAMONT,475,"7, 23, 27, 47,",up
